fault,symptoms,diagnostic_procedures,repair_outcomes,maintenance_knowledge
Battery Issue,"engine won't crank just clicks, clicking noise, no power at all dashboard is dark, dead battery","Test battery voltage (should be 12.6V resting). Perform load test. Check battery terminals for corrosion. Inspect cables for breaks.","Replaced battery successfully. Cleaned terminals. Vehicle starts normally.","Replace battery every 3-5 years. Clean terminals annually. Avoid short trips that prevent full charging."
Alternator Failure,"car dies while driving, dim lights, battery light is on dashboard, whining noise from engine bay low voltage","Test alternator output (should be 13.5V-14.5V running). Inspect drive belt tension and condition. Check for loose connections at alternator.","Replaced alternator and drive belt. Charging system restored.","Inspect drive belt every 30,000 miles. Don't ignore battery warning lights."
Engine Misfire,"engine shaking loss of power, rough idle check engine light flashing, stuttering on highway hesitating, jerking acceleration bad vibration, weird engine noise knocking sound, engine noise loud rumbling","Pull DTC codes. Inspect spark plugs for fouling or wear. Check ignition coil resistance. Test fuel injector pulse. Perform compression test if needed.","Replaced spark plugs and one faulty ignition coil. Engine runs smoothly.","Replace spark plugs according to owner's manual (usually every 30,000-100,000 miles). Use high-quality fuel."
Catalytic Converter Failure,"bad smell poor fuel economy rotten egg, lack of power exhaust smell sulfur, check engine light bad mileage sluggish","Check for P0420/P0430 codes. Measure exhaust backpressure. Use an infrared thermometer to check inlet vs outlet temps.","Replaced catalytic converter. Emissions normalized.","Fix engine misfires immediately to prevent unburned fuel from destroying the catalytic converter."
Oxygen Sensor Failure,"hesitation upon acceleration rough idle, poor gas mileage running lean, slow response from engine poor fuel efficiency","Monitor O2 sensor voltage via OBD-II live data. Should oscillate between 0.1V and 0.9V rapidly. Check for vacuum leaks.","Replaced upstream O2 sensor. Fuel trims returned to normal.","O2 sensors degrade over time. Replacement around 100,000 miles often improves fuel economy."
Worn Brake Pads,"squealing noise when braking high pitch, grinding noise from wheels when stopping, brake pedal feels soft takes long to stop, screeching sound when I press brakes","Remove wheels and inspect brake pad thickness. Check rotors for scoring or warping. Inspect calipers for leaks.","Installed new brake pads and resurfaced rotors. Braking power restored, no noise.","Have brakes inspected every 10,000 miles or during tire rotations. Flush brake fluid every 2 years."
Coolant Leak,"engine overheats quickly sweet smell, temperature gauge high steam from hood, puddle of green yellow liquid under car","Perform cooling system pressure test. Inspect radiator, hoses, and water pump for visible leaks. Check oil for milky appearance (head gasket check).","Replaced leaking upper radiator hose and topped off coolant. Temperature stable.","Flush and replace engine coolant according to schedule (usually every 50,000 miles). Check hoses for cracking."
Wheel Alignment Issue,"vibration when driving high speed steering shakes, pulling to one side drifts left or right, steering wheel is crooked uneven tire wear","Check tire pressure. Inspect suspension components for wear (tie rods, ball joints). Place vehicle on alignment rack and measure camber, caster, and toe.","Performed 4-wheel alignment. Vehicle tracks straight, steering wheel centered.","Get an alignment when buying new tires, or if you hit a severe pothole/curb."
AC Refrigerant Leak,"AC not blowing cold air at all, warm air from AC vents hissing sound, air conditioner stopped working suddenly","Connect AC manifold gauges to check high/low pressures. Use UV light to find dye leaks, or an electronic sniffer detector.","Found leak at condenser. Replaced condenser, vacuumed system, and recharged with R134a.","Run the AC periodically even in winter to keep compressor seals lubricated."
Transmission Issue,"gears slipping won't shift up, delayed shifting hard shift clunking, car revs high but moves slowly, transmission fluid leak smells burnt","Check transmission fluid level and condition. Scan TCM for fault codes. Perform stall test and road test.","Replaced shift solenoid and performed fluid flush. Shifting returned to normal.","Change transmission fluid every 30,000-60,000 miles. Don't ignore hard shifting or fluid leaks."
